0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
22,2038,3413,1561,17,0,0,0,0,0,0,1,2,1,9,0,0,0,0,0,0
23,2847,285,1686,3772,0,0,0,0,0,0,3,2,5,2,0,0,0,0,0,0
24,3172,2489,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0
25,3172,275,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0
26,285,118,3421,1749,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0
27,1791,2666,3421,15,0,0,0,0,0,0,2,1,1,9,0,0,0,0,0,0
28,2550,2180,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
29,2307,12,3421,1657,0,0,0,0,0,0,4,9,1,1,0,0,0,0,0,0
30,1456,3072,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
31,3672,20,10,27,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0
32,891,285,3421,1749,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0
33,2379,2614,1686,3413,0,0,0,0,0,0,2,1,5,2,0,0,0,0,0,0
34,2038,3593,3305,15,0,0,0,0,0,0,1,1,1,9,0,0,0,0,0,0
35,2939,3672,3421,285,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0
36,2326,1669,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
37,3207,2308,3421,1955,0,0,0,0,0,0,4,1,1,1,0,0,0,0,0,0
38,2992,3106,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0
39,1456,1617,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
40,3413,1779,3031,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0
41,1657,2884,3421,3772,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0
42,954,628,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
43,1657,307,717,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0
44,2992,188,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
45,3413,2666,1686,1749,0,0,0,0,0,0,2,1,5,2,0,0,0,0,0,0
46,1456,430,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
47,1456,3105,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
48,954,2439,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
49,2992,2264,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
50,15,118,3421,2233,0,0,0,0,0,0,9,1,1,1,0,0,0,0,0,0
51,2550,1955,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
52,2320,1712,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0
53,954,1797,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
54,2326,3173,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0
55,3172,1770,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
56,954,562,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
57,2320,1912,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0
58,3772,2433,1686,3031,0,0,0,0,0,0,2,1,5,2,0,0,0,0,0,0
59,27,3769,3421,285,0,0,0,0,0,0,6,1,1,1,0,0,0,0,0,0
60,2550,736,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
61,1791,2884,3421,12,0,0,0,0,0,0,2,1,1,9,0,0,0,0,0,0
62,3172,2662,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
63,3172,2105,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
64,954,154,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
65,2320,3363,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0
66,954,1497,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
67,2550,2739,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
68,1456,1457,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
69,954,2052,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
70,1749,892,3421,3413,0,0,0,0,0,0,4,1,1,2,0,0,0,0,0,0
71,2992,2913,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
72,2550,543,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
73,3031,21,3207,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0
74,3172,462,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
75,2550,1538,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
76,1456,3406,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
77,3199,1239,1686,1749,0,0,0,0,0,0,2,2,5,2,0,0,0,0,0,0
78,3199,285,1686,27,0,0,0,0,0,0,2,2,5,6,0,0,0,0,0,0
79,15,182,3421,27,0,0,0,0,0,0,9,1,1,6,0,0,0,0,0,0
80,2326,120,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
81,3172,615,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
82,1657,1131,1955,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0
83,2550,2825,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
84,2320,2371,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0
85,2038,1657,1561,3031,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0
86,2550,1481,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
87,2326,2593,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
88,2320,960,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0
89,2320,1163,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0
90,19,2848,1686,3207,0,0,0,0,0,0,9,2,5,2,0,0,0,0,0,0
91,1456,3763,3763,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0
92,2326,406,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
93,3172,2181,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
94,954,2957,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
95,2474,1791,3421,717,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0
96,2550,3399,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
97,891,3413,1955,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0
98,2992,1059,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
99,1456,565,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
100,2550,395,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
101,2038,2233,1561,1239,0,0,0,0,0,0,1,4,1,2,0,0,0,0,0,0
102,1456,3031,3772,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0
103,3593,2884,3421,285,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0
104,954,903,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
105,3763,1132,717,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0
106,2992,1652,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
107,1456,1360,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
108,1456,3386,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0
109,1732,3413,1686,1749,0,0,0,0,0,0,3,2,5,2,0,0,0,0,0,0
110,2474,285,3421,19,0,0,0,0,0,0,2,2,1,9,0,0,0,0,0,0
111,1955,2848,1686,1749,0,0,0,0,0,0,2,2,5,2,0,0,0,0,0,0
112,2550,971,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
113,1239,2614,1686,3593,0,0,0,0,0,0,2,1,5,2,0,0,0,0,0,0
114,717,118,3421,1749,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0
115,2614,1955,1765,3413,0,0,0,0,0,0,1,2,5,2,0,0,0,0,0,0
116,2320,1710,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0
117,285,1132,3413,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0
118,2320,3054,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0
119,954,1572,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
120,1456,1649,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
121,3413,892,3421,3413,0,0,0,0,0,0,2,1,1,2,0,0,0,0,0,0
122,2326,1157,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
123,2320,2173,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0
124,19,3200,1686,2233,0,0,0,0,0,0,9,1,5,2,0,0,0,0,0,0
125,2992,2103,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0
126,3172,219,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0
127,3031,21,285,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0
128,3172,760,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0
129,2320,1501,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0
130,2614,1239,1765,1657,0,0,0,0,0,0,2,2,5,2,0,0,0,0,0,0
131,1996,3593,3413,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0
132,1095,21,3772,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0
133,17,883,1765,1749,0,0,0,0,0,0,9,1,5,2,0,0,0,0,0,0
134,3763,21,3031,0,0,0,0,0,0,0,2,9,2,0,0,0,0,0,0,0
135,2550,1878,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
136,1749,21,285,0,0,0,0,0,0,0,2,9,2,0,0,0,0,0,0,0
137,2939,3772,3421,1239,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0
138,2326,2441,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
139,2992,327,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
140,3672,1131,3031,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0
141,3031,2884,3421,285,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0
142,1456,3314,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
143,3772,892,3421,1791,0,0,0,0,0,0,4,1,1,1,0,0,0,0,0,0
144,2665,717,3421,3158,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0
145,954,2048,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
146,3772,892,3421,3763,0,0,0,0,0,0,4,1,1,1,0,0,0,0,0,0
147,1456,360,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
148,3031,1129,12,0,0,0,0,0,0,0,2,3,9,0,0,0,0,0,0,0
149,12,10,23,3031,0,0,0,0,0,0,9,2,2,0,0,0,0,0,0,0
150,2320,2572,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0
151,2432,2379,1686,3772,0,0,0,0,0,0,2,2,5,2,0,0,0,0,0,0
152,2326,525,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
153,954,3236,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
154,1732,17,1686,3207,0,0,0,0,0,0,3,9,5,2,0,0,0,0,0,0
155,2614,2288,1765,285,0,0,0,0,0,0,1,7,5,2,0,0,0,0,0,0
156,2550,3293,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
157,3763,21,1657,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0
158,2326,3058,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
159,2992,2599,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0
160,2320,1797,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0
161,3172,1005,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
162,3031,182,3421,3593,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0
163,3172,1568,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
164,1456,3207,3031,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0
165,12,118,3421,3593,0,0,0,0,0,0,9,1,1,1,0,0,0,0,0,0
166,2320,1496,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0
167,3207,1779,1239,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0
168,27,930,3421,3772,0,0,0,0,0,0,6,1,1,1,0,0,0,0,0,0
169,3172,3791,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
170,555,3031,3421,3413,0,0,0,0,0,0,2,2,1,2,0,0,0,0,0,0
171,954,51,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
172,1456,151,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
173,3172,2406,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
174,1456,3390,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
175,2233,20,10,3413,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
176,882,19,1686,3772,0,0,0,0,0,0,2,9,5,2,0,0,0,0,0,0
177,2992,2453,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
178,3172,1802,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
179,891,1955,3421,3413,0,0,0,0,0,0,2,2,1,2,0,0,0,0,0,0
180,181,3672,3031,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0
181,181,1095,3421,285,0,0,0,0,0,0,3,2,1,1,0,0,0,0,0,0
182,3763,307,3772,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0
183,2038,3158,3305,1239,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0
184,2307,2288,3421,27,0,0,0,0,0,0,2,2,1,6,0,0,0,0,0,0
185,1657,182,3421,12,0,0,0,0,0,0,4,1,1,9,0,0,0,0,0,0
186,3413,1779,15,0,0,0,0,0,0,0,2,1,9,0,0,0,0,0,0,0
187,3172,2304,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
188,1996,285,17,0,0,0,0,0,0,0,1,2,9,0,0,0,0,0,0,0
189,2474,3207,3421,2288,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0
190,3207,20,10,3772,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
191,2326,3742,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
192,3172,1580,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
193,954,459,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
194,1456,2507,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
195,2992,1380,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0
196,882,1095,1765,3593,0,0,0,0,0,0,2,2,5,2,0,0,0,0,0,0
197,2320,3435,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0
198,954,3362,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
199,2847,3031,1686,3158,0,0,0,0,0,0,3,2,5,2,0,0,0,0,0,0
200,954,3695,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0
201,1095,1733,1686,27,0,0,0,0,0,0,2,1,5,6,0,0,0,0,0,0
202,2320,2583,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0
203,1239,1733,1765,27,0,0,0,0,0,0,2,1,5,6,0,0,0,0,0,0
204,17,729,3772,0,0,0,0,0,0,0,9,2,1,0,0,0,0,0,0,0
205,2614,3413,1686,3031,0,0,0,0,0,0,2,2,5,2,0,0,0,0,0,0
206,2320,2640,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0
207,2550,1295,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
208,2326,2231,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0
209,555,1095,1765,1657,0,0,0,0,0,0,2,2,5,2,0,0,0,0,0,0
210,2320,1820,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0
211,2992,3031,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
212,2320,1388,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0
213,1456,2283,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0
214,2038,3672,3305,2379,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0
215,2326,699,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
216,3172,1533,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
217,1456,3628,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
218,2326,2510,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
219,954,2189,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0
220,3763,883,1686,1657,0,0,0,0,0,0,2,1,5,2,0,0,0,0,0,0
221,3172,3060,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
222,2550,3690,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0
223,2939,1791,3421,3158,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0
224,2847,3672,215,12,0,0,0,0,0,0,3,2,5,9,0,0,0,0,0,0
225,954,2855,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
226,954,2757,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
227,19,2614,1765,27,0,0,0,0,0,0,9,1,5,6,0,0,0,0,0,0
228,2320,2253,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0
229,117,717,3421,3207,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0
230,3772,729,717,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0
231,1456,2936,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
232,117,19,3421,3593,0,0,0,0,0,0,4,9,1,1,0,0,0,0,0,0
233,12,3769,3421,3158,0,0,0,0,0,0,9,1,1,1,0,0,0,0,0,0
234,2320,1265,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0
235,2550,153,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
236,882,2379,1765,3413,0,0,0,0,0,0,2,2,5,2,0,0,0,0,0,0
237,1456,2450,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
238,2326,2879,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
239,2320,924,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0
240,2320,2263,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0
241,1353,1162,3397,3772,1686,27,0,0,0,0,5,6,5,2,5,6,0,0,0,0
242,2326,283,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
243,2992,1075,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0
244,2320,3040,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0
245,2326,1123,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0
246,2550,1008,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
247,2326,3192,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
248,285,892,3421,27,0,0,0,0,0,0,2,1,1,6,0,0,0,0,0,0
249,2038,3031,3305,3413,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0
250,3172,3289,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
251,1996,3413,12,0,0,0,0,0,0,0,1,2,9,0,0,0,0,0,0,0
252,954,999,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0
253,285,2884,3421,19,0,0,0,0,0,0,2,1,1,9,0,0,0,0,0,0
254,285,930,3421,3031,0,0,0,0,0,0,2,1,1,2,0,0,0,0,0,0
255,2326,2431,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
256,2320,208,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0
257,1095,10,23,3763,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0
258,717,182,3421,3207,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0
259,2320,2150,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0
260,929,2379,3421,3207,0,0,0,0,0,0,3,2,1,1,0,0,0,0,0,0
261,2883,1239,3421,3763,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0
262,2326,1533,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
263,1996,1657,27,0,0,0,0,0,0,0,2,2,6,0,0,0,0,0,0,0
264,2432,717,1686,2233,0,0,0,0,0,0,2,2,5,2,0,0,0,0,0,0
265,2038,3207,1561,1955,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0
266,954,1291,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
267,954,3052,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0
268,3672,557,3421,3158,0,0,0,0,0,0,4,1,1,1,0,0,0,0,0,0
269,230,27,2379,0,0,0,0,0,0,0,1,6,2,0,0,0,0,0,0,0
270,3207,1131,285,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0
271,17,892,3421,27,0,0,0,0,0,0,9,1,1,6,0,0,0,0,0,0
272,2326,92,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0
273,2992,3615,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
274,285,307,3763,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0
275,2326,2988,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
276,3207,930,3421,3413,0,0,0,0,0,0,4,1,1,2,0,0,0,0,0,0
277,1456,1749,2379,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0
278,1456,2824,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
279,2326,344,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
280,2432,717,1686,1657,0,0,0,0,0,0,2,2,5,2,0,0,0,0,0,0
281,1456,2132,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
282,954,386,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
283,2320,2914,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0
284,3672,930,3421,1095,0,0,0,0,0,0,4,1,1,1,0,0,0,0,0,0
285,3772,1779,3158,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0
286,2288,10,23,3593,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
287,2992,879,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
288,2326,1252,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0
289,3172,2287,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
290,1996,1749,27,3413,0,0,0,0,0,0,1,2,6,2,0,0,0,0,0,0
291,1239,21,3413,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0
292,2614,19,1765,285,0,0,0,0,0,0,1,9,5,2,0,0,0,0,0,0
293,3413,21,285,0,0,0,0,0,0,0,2,9,2,0,0,0,0,0,0,0
294,2432,27,1686,3763,0,0,0,0,0,0,2,6,5,2,0,0,0,0,0,0
295,3031,2614,1686,1749,0,0,0,0,0,0,2,1,5,2,0,0,0,0,0,0
296,882,285,1765,3763,0,0,0,0,0,0,2,2,5,2,0,0,0,0,0,0
297,285,1132,27,0,0,0,0,0,0,0,2,1,6,0,0,0,0,0,0,0
298,954,3617,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
299,882,27,1686,3672,0,0,0,0,0,0,2,6,5,2,0,0,0,0,0,0
300,1955,2614,1686,3158,0,0,0,0,0,0,2,1,5,2,0,0,0,0,0,0
301,891,285,1955,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0
302,2326,2858,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
303,2550,1931,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
304,15,1132,1791,0,0,0,0,0,0,0,9,3,2,0,0,0,0,0,0,0
305,954,1911,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
306,555,3413,3421,1791,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0
307,2320,1500,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0
308,3763,1779,3158,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0
309,954,644,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
310,954,815,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
311,1456,1582,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
312,954,3220,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
313,3763,21,15,0,0,0,0,0,0,0,2,1,9,0,0,0,0,0,0,0
314,2550,463,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
