,word,if-then,variable,print,loop
299,been,0,0,0,0.0
300,bees,0,0,0,0.0
301,before,0,0,0,0.0
302,began,0,0,0,0.0
303,beget,0,0,0,0.0
304,beggar,0,0,0,0.0
305,begin,0,0,0,0.0
306,beginning,0,0,0,0.0
307,begins,0,0,0,0.0
308,begun,0,0,0,0.0
309,behave,0,0,0,0.0
310,behavior,0,0,0,0.0
311,behind,0,0,0,0.0
312,behold,0,0,0,0.0
313,being,0,0,0,0.0
314,bejewel,0,0,0,0.0
315,believe,0,0,0,0.0
316,believed,0,0,0,0.0
317,bell,0,0,0,0.0
318,bells,0,0,0,0.0
319,belong,0,0,0,0.0
320,belonged,0,0,0,0.0
321,belongings,0,0,0,0.0
322,belongs,0,0,0,0.0
323,below,0,0,0,0.0
324,belt,0,0,0,0.0
325,ben,0,0,0,0.0
326,bend,0,0,0,0.0
327,beneath,0,0,0,0.0
328,bent,0,0,0,0.0
329,bequeath,0,0,0,0.0
330,berth,0,0,0,0.0
331,beside,0,0,0,0.0
332,besides,0,0,0,0.0
333,best,0,0,0,0.0
334,bestow,0,0,0,0.0
335,bet,0,0,0,0.0
336,betray,0,0,0,0.0
337,betsy,0,0,0,0.0
338,better,0,0,0,0.0
339,between,0,0,0,0.0
340,beyond,0,0,0,0.0
341,bicycle,0,0,0,0.0
342,bid,0,0,0,0.0
343,big,0,0,0,0.0
344,bigger,0,0,0,0.0
345,biggest,0,0,0,0.0
346,bill,0,0,0,0.0
347,billy,0,0,0,0.0
348,bind,0,0,0,0.0
349,bird,0,0,0,0.0
350,birds,0,0,0,0.0
351,birth,0,0,0,0.0
352,birthday,0,0,0,0.0
353,bit,0,0,0,0.0
354,bite,0,0,0,0.0
355,bits,0,0,0,0.0
356,blab,0,0,0,0.0
357,black,0,0,0,0.0
358,blackmail,0,0,0,0.0
359,blank,0,0,0,0.0
360,blanket,0,0,0,0.0
361,blazon,0,0,0,0.0
362,blew,0,0,0,0.0
363,blind,0,0,0,0.0
364,block,0,0,0,0.0
365,blocks,0,0,0,0.0
366,blood,0,0,0,0.0
367,blow,0,0,0,0.0
368,blowing,0,0,0,0.0
369,bludgeon,0,0,0,0.0
370,blue,0,0,0,0.0
371,blunder,0,0,0,0.0
372,board,0,0,0,0.0
373,boat,0,0,0,0.0
374,boats,0,0,0,0.0
375,bob,0,0,0,0.0
376,bodies,0,0,0,0.0
377,body,0,0,0,0.0
378,bone,0,0,0,0.0
379,bones,0,0,0,0.0
380,book,0,0,0,0.0
381,books,0,0,0,0.0
382,boots,0,0,0,0.0
383,border,0,0,0,0.0
384,born,0,0,0,0.0
385,boston,0,0,0,0.0
386,both,0,0,0,0.0
387,bother,0,0,0,0.0
388,bottle,0,0,0,0.0
389,bottom,0,0,0,0.0
390,bought,0,0,0,0.0
391,bound,0,0,0,0.0
392,bow,0,0,0,0.0
393,bowl,0,0,0,0.0
394,box,0,0,0,0.0
395,boxes,0,0,0,0.0
396,boy,0,0,0,0.0
397,boys,0,0,0,0.0
398,brain,0,0,0,0.0
399,brake,0,0,0,0.0
400,branch,0,0,0,0.0
401,branches,0,0,0,0.0
402,brand,1,3,2,0.0
403,brass,0,0,0,0.0
404,brave,0,0,0,0.0
405,bread,0,0,0,0.0
406,break,0,0,0,0.0
407,breakfast,0,0,0,0.0
408,breaking,0,0,0,0.0
409,breath,0,0,0,0.0
410,breathe,0,0,0,0.0
411,breathing,0,0,0,0.0
412,breed,0,0,0,0.0
413,breeze,0,0,0,0.0
414,brew,0,0,0,0.0
415,brick,0,0,0,0.0
416,bridge,0,0,0,0.0
417,bridle,0,0,0,0.0
418,brief,0,0,0,0.0
419,brigade,0,0,0,0.0
420,bright,0,0,0,0.0
421,bring,0,0,0,0.0
422,bringing,0,0,0,0.0
423,brings,0,0,0,0.0
424,british,0,0,0,0.0
425,broad,0,0,0,0.0
426,broadcast,0,0,2,0.0
427,broke,0,0,0,0.0
428,broken,0,0,0,0.0
429,brother,0,0,0,0.0
430,brothers,0,0,0,0.0
431,brought,0,0,0,0.0
432,browbeat,0,0,0,0.0
433,brown,0,0,0,0.0
434,brush,0,0,0,0.0
435,buckle,0,0,0,0.0
436,buffalo,0,0,0,0.0
437,bugger,0,0,0,0.0
438,build,0,5,0,5.0
439,building,0,0,0,0.0
440,buildings,0,0,0,0.0
441,built,0,0,0,0.0
442,bulldoze,0,0,0,0.0
443,bully,0,0,0,0.0
444,bung,0,0,0,0.0
445,bunny,0,0,0,0.0
446,buried,0,0,0,0.0
447,burn,0,0,0,0.0
448,burned,0,0,0,0.0
449,burning,0,0,0,0.0
450,burst,0,0,0,0.0
451,bus,0,0,0,0.0
452,bushes,0,0,0,0.0
453,business,0,0,0,0.0
454,busy,0,0,0,0.0
455,but,5,0,0,0.0
456,butt,0,0,0,0.0
457,butter,0,0,0,0.0
458,buy,0,0,0,0.0
459,by,0,0,0,0.0
460,ca,0,0,0,0.0
461,cabin,0,0,0,0.0
462,cage,0,0,0,0.0
463,cake,0,0,0,0.0
464,calculate,0,0,0,3.0
465,calibrate,0,5,0,0.0
466,california,0,0,0,0.0
467,call,0,0,0,0.0
468,called,0,0,0,0.0
469,calling,0,0,0,0.0
470,calls,0,0,0,0.0
471,calm,0,0,0,0.0
472,came,0,0,0,0.0
473,camera,0,0,0,0.0
474,camp,0,0,0,0.0
475,can,0,0,0,0.0
476,canada,0,0,0,0.0
477,canal,0,0,0,0.0
478,candy,0,0,0,0.0
479,canoe,0,0,0,0.0
480,cap,0,0,0,0.0
481,capital,0,0,0,0.0
482,capricious,0,0,0,0.0
483,captain,0,0,0,0.0
484,captured,0,0,0,0.0
485,car,0,0,0,0.0
486,carbon,0,0,0,0.0
487,card,0,0,0,0.0
488,cards,0,0,0,0.0
489,care,0,0,0,0.0
490,careful,0,0,0,0.0
491,carefully,0,0,0,0.0
492,carlos,0,0,0,0.0
493,carried,0,0,0,0.0
494,carries,0,0,0,0.0
495,carry,0,0,0,0.0
496,carrying,0,0,0,0.0
497,cars,0,0,0,0.0
498,carve,0,0,0,0.0
499,case,5,0,0,0.0
500,cases,0,0,0,0.0
501,casey,0,0,0,0.0
502,cast,0,0,0,0.0
503,castle,0,0,0,0.0
504,cat,0,0,0,0.0
505,catch,0,0,0,0.0
506,cats,0,0,0,0.0
507,cattle,0,0,0,0.0
508,caught,0,0,0,0.0
509,cause,0,5,0,0.0
510,caused,0,0,0,0.0
511,causes,0,0,0,0.0
512,cave,0,0,0,0.0
513,cell,0,0,0,0.0
514,cells,0,0,0,0.0
515,cent,0,0,0,0.0
516,center,0,0,0,0.0
517,centers,0,0,0,0.0
518,central,0,0,0,0.0
519,centre,0,0,0,0.0
520,cents,0,0,0,0.0
521,centuries,0,0,0,0.0
522,century,0,0,0,0.0
523,certain,0,0,0,0.0
524,certainly,0,0,0,0.0
525,certify,0,0,0,0.0
526,chain,0,0,0,0.0
527,chair,0,0,0,0.0
528,chairs,0,0,0,0.0
529,chamber,0,0,0,0.0
530,chameleonic,0,0,0,0.0
531,chance,0,0,0,0.0
532,change,0,5,0,0.0
533,changeable,0,0,0,0.0
534,changed,0,0,0,0.0
535,changeful,0,0,0,0.0
536,changes,0,0,0,0.0
537,changing,0,0,0,0.0
538,chaperone,0,0,0,0.0
539,chapter,0,0,0,0.0
540,character,0,0,0,0.0
541,characteristic,0,0,0,0.0
542,characteristics,0,0,0,0.0
543,characters,0,0,0,0.0
544,charge,0,0,0,0.0
545,charged,0,0,0,0.0
546,charles,0,0,0,0.0
547,chart,0,0,0,0.0
548,chase,0,0,0,0.0
549,chattels,0,0,0,0.0
550,check,5,0,0,0.0
551,checked,0,0,0,0.0
552,cheese,0,0,0,0.0
553,chemical,0,0,0,0.0
554,chest,0,0,0,0.0
555,chicago,0,0,0,0.0
556,chicken,0,0,0,0.0
557,chickens,0,0,0,0.0
558,chief,0,0,0,0.0
559,child,0,0,0,0.0
560,children,0,0,0,0.0
561,china,0,0,0,0.0
562,chinese,0,0,0,0.0
563,choice,0,0,0,0.0
564,choose,0,0,0,0.0
565,chore,0,0,0,0.0
566,chose,0,0,0,0.0
567,chosen,0,0,0,0.0
568,christmas,0,0,0,0.0
569,chronicle,0,0,0,0.0
570,church,0,0,0,0.0
571,circle,0,0,0,0.0
572,circles,0,0,0,0.0
573,circulate,0,0,0,0.0
574,circumstances,0,0,0,0.0
575,circus,0,0,0,0.0
576,cities,0,0,0,0.0
577,citizens,0,0,0,0.0
578,city,0,0,0,0.0
579,claim,0,0,0,0.0
580,clarify,0,0,0,0.0
581,class,0,0,0,0.0
582,classes,0,0,0,0.0
583,classroom,0,0,0,0.0
584,claws,0,0,0,0.0
585,clay,0,0,0,0.0
586,clean,0,0,0,0.0
587,clear,0,0,0,0.0
588,cleared,0,0,0,0.0
589,clearly,0,0,0,0.0
590,climate,0,0,0,0.0
591,climb,0,0,0,0.0
592,climbed,0,0,0,0.0
593,clobber,0,0,0,0.0
594,clock,0,0,0,0.0
595,close,0,0,0,0.0
596,closed,0,0,0,0.0
597,closely,0,0,0,0.0
598,closer,0,0,0,0.0
599,closing,0,0,0,0.0
600,clot,0,0,0,0.0
601,cloth,0,0,0,0.0
602,clothes,0,0,0,0.0
603,clothing,0,0,0,0.0
604,cloud,0,0,0,0.0
605,clouds,0,0,0,0.0
606,club,0,0,0,0.0
607,coach,0,0,0,0.0
608,coagulate,0,0,0,0.0
609,coal,0,0,0,0.0
610,coast,0,0,0,0.0
611,coat,0,0,0,0.0
612,coerce,0,5,0,0.0
613,coffee,0,0,0,0.0
614,coil,0,0,0,0.0
615,cold,0,0,0,0.0
616,collapse,0,0,0,0.0
617,collect,0,0,0,0.0
618,collected,0,0,0,0.0
619,collection,0,0,0,0.0
620,college,0,0,0,0.0
621,collimate,0,0,0,0.0
622,colonies,0,0,0,0.0
623,colony,0,0,0,0.0
624,color,0,0,0,0.0
625,colored,0,0,0,0.0
626,colors,0,0,0,0.0
627,columbus,0,0,0,0.0
628,column,0,0,0,0.0
629,comb,0,0,0,0.0
630,combination,0,0,0,0.0
631,combine,0,0,0,0.0
632,combined,0,0,0,0.0
633,come,0,0,0,0.0
634,comes,0,0,0,0.0
635,comfortable,0,0,0,0.0
636,coming,0,0,0,0.0
637,command,0,0,0,0.0
638,commanding,0,0,0,0.0
639,commend,0,0,0,0.0
640,commensurate,0,0,0,0.0
641,comment,0,0,0,0.0
642,commission,0,5,0,0.0
643,commit,0,5,0,0.0
644,commodity,0,0,0,0.0
645,common,0,0,0,0.0
646,communicate,0,0,4,0.0
647,community,0,0,0,0.0
648,commute,0,0,0,0.0
649,companies,0,0,0,0.0
650,company,0,0,0,0.0
651,comparable,0,0,0,0.0
652,compare,0,0,0,0.0
653,compared,0,0,0,0.0
654,compass,0,0,0,0.0
655,compel,0,5,0,0.0
656,compile,0,0,0,0.0
657,complete,0,0,0,0.0
658,completed,0,0,0,0.0
659,completely,0,0,0,0.0
660,complex,0,0,0,0.0
661,complicated,0,0,0,0.0
662,component,0,0,0,0.0
663,compose,0,0,0,0.0
664,composed,0,0,0,0.0
665,composition,0,0,0,0.0
666,compound,0,0,0,0.0
667,compounds,0,0,0,0.0
668,comprehend,3,2,0,0.0
669,compute,0,0,0,3.0
670,conceive,0,0,0,0.0
671,concentrate,0,0,0,0.0
672,concept,0,0,0,0.0
673,conception,0,0,0,0.0
674,concern,0,0,0,0.0
675,concerned,0,0,0,0.0
676,concerning,0,0,0,0.0
677,conclude,1,0,0,0.0
678,concluding,0,0,0,0.0
679,concoct,0,0,0,0.0
680,condition,0,0,0,0.0
681,conditions,0,0,0,0.0
682,conduct,0,0,0,0.0
683,confer,0,0,0,0.0
684,confirm,5,0,0,0.0
685,congeal,0,0,0,0.0
686,congress,0,0,0,0.0
687,connected,0,0,0,0.0
688,consider,5,0,0,0.0
689,considered,0,0,0,0.0
690,consign,0,0,0,0.0
691,consists,0,0,0,0.0
692,consonant,0,0,0,0.0
693,constant,0,0,0,0.0
694,constantly,0,0,0,0.0
695,constituent,0,0,0,0.0
696,constitute,0,0,0,0.0
697,constrain,0,0,0,0.0
698,construct,0,5,0,5.0
699,construction,0,0,0,0.0
700,consummate,0,0,0,0.0
701,contain,0,0,0,0.0
702,contained,0,0,0,0.0
703,containing,0,0,0,0.0
704,contains,0,0,0,0.0
705,contemplate,0,0,0,0.0
706,contend,0,0,0,0.0
707,continent,0,0,0,0.0
708,contingency,0,0,0,0.0
709,contingent,0,0,0,0.0
710,continue,0,0,0,0.0
711,continued,0,0,0,0.0
712,contrast,0,0,0,0.0
713,contrasting,0,0,0,0.0
714,contribute,0,0,0,0.0
715,contrivance,0,0,0,0.0
716,control,0,0,0,0.0
717,conversation,0,0,0,0.0
718,convert,0,2,0,0.0
719,convey,0,0,0,0.0
720,convolution,0,0,0,0.0
721,cook,0,0,0,0.0
722,cookies,0,0,0,0.0
723,cooking,0,0,0,0.0
724,cool,0,0,0,0.0
725,coordinate,0,5,0,0.0
726,cope,0,0,0,0.0
727,copper,0,0,0,0.0
728,copy,2,0,0,0.0
729,core,0,0,0,0.0
730,corn,0,0,0,0.0
731,corner,0,0,0,0.0
732,corners,0,0,0,0.0
733,corps,0,0,0,0.0
734,correct,0,5,0,0.0
735,correctly,0,0,0,0.0
736,correspond,0,0,0,0.0
737,correspondent,0,0,0,0.0
738,corresponding,0,0,0,0.0
739,corroborate,0,0,0,0.0
740,cost,0,0,0,0.0
741,cotton,0,0,0,0.0
742,couch,0,0,0,0.0
743,could,0,0,0,0.0
744,couldnt,0,0,0,0.0
745,count,0,0,0,0.0
746,counted,0,0,0,0.0
747,counting,0,0,0,0.0
748,countries,0,0,0,0.0
749,country,0,0,0,0.0
750,couple,0,0,0,0.0
751,courage,0,0,0,0.0
752,course,0,0,0,0.0
753,court,0,0,0,0.0
754,cover,0,0,0,0.0
755,covered,0,0,0,0.0
756,covering,0,0,0,0.0
757,covers,0,0,0,0.0
758,cow,0,0,0,0.0
759,cowboy,0,0,0,0.0
760,cowboys,0,0,0,0.0
761,cows,0,0,0,0.0
762,crack,0,0,0,0.0
763,crap,0,0,0,0.0
764,cream,0,0,0,0.0
765,create,0,5,0,5.0
766,created,0,0,0,0.0
767,creation,0,0,0,0.0
768,creature,0,0,0,0.0
769,creatures,0,0,0,0.0
770,credit,0,3,0,0.0
771,crew,0,0,0,0.0
772,cried,0,0,0,0.0
773,crisis,0,0,0,0.0
774,crop,0,0,0,0.0
775,crops,0,0,0,0.0
776,cross,0,0,0,0.0
777,crossed,0,0,0,0.0
778,crossing,0,0,0,0.0
779,crowd,0,0,0,0.0
780,crowded,0,0,0,0.0
781,cry,0,0,0,0.0
782,crying,0,0,0,0.0
783,crystallize,0,0,0,0.0
784,cup,0,0,0,0.0
785,curb,0,0,0,0.0
786,curious,0,0,0,0.0
787,curl,0,0,0,0.0
788,current,0,0,0,0.0
789,currents,0,0,0,0.0
790,curve,0,0,0,0.0
791,curved,0,0,0,0.0
792,customize,0,0,0,0.0
793,customs,0,0,0,0.0
794,cut,0,0,0,0.0
795,cutting,0,0,0,0.0
796,dad,0,0,0,0.0
797,daily,0,0,0,0.0
798,damage,0,0,0,0.0
799,dan,0,0,0,0.0
800,dance,0,0,0,0.0
801,dancing,0,0,0,0.0
802,danger,0,0,0,0.0
803,dangerous,0,0,0,0.0
804,daniel,0,0,0,0.0
805,danny,0,0,0,0.0
806,dark,0,0,0,0.0
807,darkness,0,0,0,0.0
808,date,0,0,0,0.0
809,daughter,0,0,0,0.0
810,david,0,0,0,0.0
811,dawn,0,0,0,0.0
812,day,0,0,0,0.0
813,day job,0,0,0,0.0
814,days,0,0,0,0.0
815,dead,0,0,0,0.0
816,deadly,0,0,0,0.0
817,deal,0,5,0,0.0
818,dear,0,0,0,0.0
819,death,0,0,0,0.0
820,deboss,0,0,0,0.0
821,decide,0,0,0,0.0
822,decided,0,0,0,0.0
823,decipher,3,2,1,2.0
824,deck,0,0,0,0.0
825,declaration,0,0,0,0.0
826,declare,0,5,0,0.0
827,declared,0,0,0,0.0
828,decline,5,0,0,0.0
829,decorate,0,0,0,0.0
830,dedicate,0,0,0,0.0
831,deduce,0,0,0,0.0
832,deed,0,0,0,0.0
833,deem,0,2,0,0.0
834,deep,0,0,0,0.0
835,deeper,0,0,0,0.0
836,deeply,0,0,0,0.0
837,deer,0,0,0,0.0
838,definite,0,0,0,0.0
839,definition,0,0,0,0.0
840,degree,0,0,0,0.0
841,degrees,0,0,0,0.0
842,delate,0,0,0,0.0
843,delay,0,0,0,0.0
844,delegate,0,5,0,0.0
845,delineate,0,0,0,0.0
846,deliver,0,0,1,0.0
847,demise,0,0,0,0.0
848,demonstrate,5,3,0,0.0
849,demonstration,0,0,0,0.0
850,denomination,0,0,0,0.0
851,denounce,0,0,0,0.0
852,depend,0,0,0,0.0
853,depends,0,0,0,0.0
854,depict,0,0,0,0.0
855,depose,0,0,0,0.0
856,deposit,0,5,0,0.0
857,depth,0,0,0,0.0
858,descend,0,0,0,0.0
859,describe,0,0,5,0.0
860,described,0,0,0,0.0
861,descry,0,0,0,0.0
862,desert,0,0,0,0.0
863,design,0,0,0,4.0
864,designate,0,5,0,0.0
865,designed,0,0,0,0.0
866,desk,0,0,0,0.0
867,destroyed,0,0,0,0.0
868,detachment,0,0,0,0.0
869,detail,0,0,0,0.0
870,details,0,0,0,0.0
871,determine,0,0,5,0.0
872,determined,0,0,0,0.0
873,detestation,0,0,0,0.0
874,develop,0,5,0,5.0
875,developed,0,0,0,0.0
876,developing,0,0,0,0.0
877,development,0,0,0,0.0
878,device,0,0,0,0.0
879,devil,0,0,0,0.0
880,devise,0,0,0,0.0
881,devote,0,0,0,0.0
882,diagram,0,0,0,0.0
883,diameter,0,0,0,0.0
884,dick,0,0,0,0.0
885,dictionary,0,0,0,0.0
886,did,0,0,0,0.0
887,die,0,0,0,0.0
888,died,0,0,0,0.0
889,differ,0,0,0,0.0
890,difference,0,0,0,0.0
891,differences,0,0,0,0.0
892,different,0,0,0,0.0
893,differentiate,0,0,0,0.0
894,differently,0,0,0,0.0
895,difficult,0,0,0,0.0
896,difficulty,0,0,0,0.0
897,dig,0,0,0,0.0
898,dingus,0,0,0,0.0
899,dinner,0,0,0,0.0
900,direct,0,0,0,0.0
901,direction,0,0,0,0.0
902,directions,0,0,0,0.0
903,directly,0,0,0,0.0
904,dirt,0,0,0,0.0
905,dirty,0,0,0,0.0
906,disappear,0,0,0,0.0
907,disappeared,0,0,0,0.0
908,discern,0,0,0,0.0
909,discharge,0,0,0,0.0
910,disclose,0,0,0,0.0
911,discover,0,0,0,0.0
912,discovered,0,0,0,0.0
913,discovery,0,0,0,0.0
914,discriminate,0,0,0,0.0
